t:treatment,c:age,c:education,c:black,c:hispanic,c:married,c:nodegree,c:RE75,o:RE78
True,27,13,True,False,False,False,0.0,0.0
True,27,8,True,False,False,True,0.0,0.0
True,38,11,True,False,False,True,0.0,0.0
True,23,8,False,True,False,True,0.0,3881.284
True,26,11,True,False,False,True,0.0,17230.96
True,42,9,True,False,True,True,3058.531,1294.409
True,21,12,False,False,False,False,0.0,8048.603
True,25,8,True,False,False,True,0.0,0.0
True,31,11,True,False,True,True,0.0,14509.93
True,17,10,True,False,False,True,0.0,0.0
True,19,8,True,False,False,True,2657.057,9970.681
True,29,14,True,False,False,False,679.6734,17814.98
True,25,11,True,False,False,True,0.0,0.0
True,21,12,True,False,False,False,0.0,9983.784
True,44,11,True,False,False,True,0.0,0.0
True,19,10,True,False,False,True,385.2741,8124.715
True,25,12,False,False,False,False,0.0,5587.503
True,18,10,True,False,False,True,798.9079,9737.154
True,18,9,True,False,False,True,0.0,4482.845
True,19,9,True,False,False,True,798.9079,17685.18
True,18,9,True,False,False,True,3287.375,5010.342
True,26,11,True,False,True,True,1392.853,1460.36
True,42,12,True,False,False,False,0.0,2456.153
True,25,10,True,False,False,True,0.0,0.0
True,31,9,False,True,False,True,0.0,26817.6
True,24,10,True,False,False,True,0.0,0.0
True,26,10,True,False,False,True,0.0,9265.788
True,20,12,True,False,False,False,377.5686,1652.637
True,19,10,False,False,False,True,5324.109,13829.62
True,25,11,True,False,False,True,0.0,485.2298
True,23,8,False,False,True,True,1713.15,4232.309
True,31,12,False,False,False,False,2611.218,2484.549
True,18,11,True,False,False,True,0.0,4814.627
True,19,11,True,False,False,True,0.0,7458.105
True,43,9,True,False,False,True,0.0,0.0
True,27,13,True,False,False,False,0.0,34099.28
True,26,11,False,False,False,True,2226.266,13385.86
True,29,10,False,True,False,True,8853.674,5112.014
True,17,9,True,False,False,True,0.0,1953.268
True,30,11,True,False,False,True,0.0,0.0
True,17,10,True,False,False,True,156.9491,10641.24
True,20,12,False,False,True,False,8644.156,11656.51
True,17,9,True,False,False,True,375.1047,3621.707
True,18,12,True,False,False,False,562.657,0.0
True,21,11,False,True,False,True,1395.39,0.0
True,30,11,True,False,False,True,1913.034,0.0
True,18,11,False,True,False,True,5491.535,2454.5
True,20,12,True,False,False,False,9227.559,0.0
True,20,6,False,True,True,True,10802.98,4488.495
True,20,10,True,False,False,True,11073.09,0.0
True,25,8,True,False,False,True,37431.66,2346.828
True,17,9,False,False,False,True,1618.15,6011.021
True,18,10,False,True,False,True,2589.042,0.0
True,19,9,False,True,False,True,6511.124,7913.386
True,19,11,True,False,False,True,192.7995,661.1924
True,27,10,False,True,False,True,421.3024,3075.862
True,18,12,False,True,False,False,535.5533,1115.86
True,22,11,True,False,False,True,606.9609,317.8952
True,20,9,True,False,False,True,660.5159,12229.63
True,20,11,True,False,False,True,696.2192,0.0
True,18,10,True,False,False,True,699.7896,480.527
True,17,10,True,False,False,True,856.8864,3251.1
True,26,12,True,False,False,False,1088.907,11460.56
True,22,10,True,False,False,True,1071.108,7315.452
True,20,12,True,False,False,False,1160.366,702.1839
True,18,8,True,False,False,True,1199.641,0.0
True,18,9,True,False,False,True,1285.33,15369.48
True,18,10,True,False,False,True,1371.017,12064.41
True,19,10,True,False,False,True,1374.587,13278.97
True,18,9,False,True,False,True,1713.773,8836.566
True,17,10,False,True,False,True,2202.796,4387.057
True,19,11,True,False,False,True,1927.995,11965.81
True,27,11,True,False,True,True,2142.217,2186.189
True,19,10,True,False,False,True,3213.113,2975.031
True,19,9,False,True,False,True,3276.15,14271.23
True,27,10,True,False,False,True,3213.322,2094.119
True,21,11,True,False,True,True,4167.998,11300.24
True,29,10,True,False,True,True,4923.263,130.6791
True,34,11,False,True,False,True,4641.467,2877.682
True,25,10,False,False,False,True,4712.874,6103.746
True,31,13,False,False,False,False,5498.35,2329.867
True,41,9,True,False,True,True,5783.981,0.0
True,21,11,False,True,False,True,6658.562,9381.295
True,20,11,True,False,False,True,6426.646,16451.46
True,24,12,False,True,True,False,7212.11,6485.508
True,41,9,True,False,True,True,7212.12,3154.72
True,21,12,False,False,False,False,7390.634,3557.934
True,22,11,True,False,False,True,7497.752,668.7466
True,20,9,False,True,False,True,8015.442,5487.97
True,17,11,True,False,False,True,8497.436,9017.004
True,24,11,True,False,False,True,9180.92,0.0
True,23,12,True,False,True,False,15079.95,10283.49
True,23,10,True,False,False,True,15709.56,5665.066
True,26,11,False,False,False,True,22959.76,2746.614
True,21,13,True,False,False,False,24806.83,8803.666
True,18,10,True,False,True,True,1958.096,10989.93
True,22,10,True,False,False,True,653.9542,11134.98
True,17,10,True,False,False,True,1000.55,1433.531
True,20,7,True,False,False,True,1569.49,5518.083
True,17,9,True,False,False,True,1667.583,5594.729
True,23,11,True,False,False,True,1961.864,3689.126
True,32,10,True,False,False,True,2321.537,179.0217
True,19,12,True,False,False,False,2534.072,4551.979
True,30,10,True,False,False,True,2615.817,0.0
True,25,12,True,False,False,False,2746.608,2090.678
True,26,11,False,False,False,True,4676.457,1973.345
True,19,10,True,False,False,True,3473.808,5861.603
True,19,8,False,False,False,True,3416.907,9251.357
True,20,10,True,False,False,True,5100.839,13626.04
True,21,11,True,False,False,True,5310.107,7906.341
True,23,12,True,False,False,False,7841.972,7947.257
True,19,11,True,False,False,True,6409.027,11648.7
True,22,11,True,False,False,True,8774.791,18295.82
True,23,12,True,False,False,False,7782.042,14416.84
True,26,10,True,False,True,True,8141.703,4635.66
True,24,12,True,False,False,False,12982.34,0.0
True,18,10,False,True,False,True,12625.51,0.0
True,27,11,True,False,False,True,14223.5,7661.973
True,21,11,False,True,False,True,17983.71,15191.91
True,25,8,False,False,False,True,23096.65,6421.53
True,21,12,True,False,False,False,807.9511,4350.907
True,19,11,True,False,False,True,532.2536,0.0
True,18,11,True,False,False,True,851.6061,0.0
True,34,7,True,False,False,True,857.5195,0.0
True,21,11,False,False,False,True,946.2279,11412.24
True,25,9,True,False,False,True,1536.503,1709.342
True,17,9,True,False,False,True,1341.651,1374.066
True,28,8,True,False,False,True,1182.786,7779.263
True,18,9,True,False,False,True,1182.786,5100.469
True,27,12,True,False,False,False,4310.455,0.0
True,23,9,True,False,False,True,1774.18,11464.71
True,19,8,False,True,False,True,1862.889,8774.623
True,21,11,True,False,False,True,2158.585,0.0
True,21,11,True,False,False,True,2217.724,4082.37
True,23,10,True,False,False,True,2217.724,0.0
True,27,9,True,False,False,True,2294.605,2018.556
True,27,11,True,False,False,True,2483.852,0.0
True,23,12,False,False,False,False,3903.195,796.5597
True,27,8,True,False,False,True,7218.277,7976.932
True,28,11,True,False,True,True,6952.58,7318.186
True,25,12,True,False,False,False,5204.259,0.0
True,20,12,True,False,False,False,6085.421,9750.66
True,26,12,True,False,False,False,6608.803,5811.765
True,23,10,True,False,True,True,10495.08,3385.811
True,49,8,False,False,True,True,7285.948,16717.12
True,19,11,True,False,False,True,10224.37,11293.81
True,21,13,False,False,False,False,8616.852,99.57002
True,27,12,True,False,True,False,7806.387,2777.585
True,23,11,True,False,False,True,8959.589,1659.5
True,22,11,True,False,False,True,12170.94,8408.393
True,24,15,True,False,False,False,13008.5,14683.63
True,24,12,True,False,False,False,18154.06,0.0
True,18,11,True,False,False,True,214.5636,929.8839
True,17,10,True,False,False,True,5793.852,5522.788
True,17,9,True,False,False,True,1253.439,5445.2
True,28,11,True,False,False,True,6871.856,0.0
True,27,11,True,False,False,True,2666.274,0.0
True,19,11,True,False,False,True,2615.276,4146.603
True,18,11,False,False,False,True,919.5579,4321.705
True,24,10,True,False,False,True,2421.947,1660.508
True,23,12,True,False,False,False,3039.96,8484.239
True,21,9,True,False,False,True,5749.331,743.6666
True,21,12,True,False,False,False,3332.409,9371.037
True,24,9,True,False,False,True,2288.675,4849.559
True,20,9,False,True,False,True,5875.049,1358.643
True,25,13,True,False,False,False,3090.732,0.0
True,35,8,True,False,True,True,17976.15,3786.628
True,17,9,False,True,False,True,74.34345,6210.67
True,24,11,True,False,True,True,1666.113,4032.708
True,20,12,True,False,False,False,165.2077,0.0
True,21,8,True,False,False,True,3695.897,4279.613
True,18,10,True,False,False,True,1784.274,11141.39
True,27,12,True,False,False,False,357.9499,22163.25
True,22,9,True,False,False,True,3836.986,3462.564
True,46,8,True,False,False,True,2594.723,0.0
True,19,10,True,False,False,True,6056.754,0.0
True,19,11,False,True,True,True,5463.803,6788.463
True,22,12,True,False,False,False,936.1773,0.0
True,22,12,False,False,False,False,8455.504,12590.71
True,26,12,True,False,True,False,5794.831,1424.944
True,29,12,True,False,False,False,4878.937,10976.51
True,31,9,True,False,False,True,5517.841,9558.501
True,29,12,True,False,False,False,1817.284,0.0
True,35,9,True,False,True,True,13830.64,12803.97
True,25,12,True,False,False,False,2409.274,0.0
True,22,12,False,True,True,False,7055.702,10092.83
True,27,10,True,False,False,True,3550.075,0.0
True,22,10,True,False,True,True,5588.664,13228.28
True,19,8,True,False,False,True,2937.264,7535.942
True,20,11,True,False,False,True,1220.836,1085.44
True,21,12,False,False,False,False,334.0494,12558.02
True,27,12,True,False,True,False,334.0493,0.0
True,20,10,True,False,False,True,2777.355,5615.189
True,23,12,True,False,False,False,501.0741,671.3318
True,27,13,False,False,True,False,853.7225,0.0
True,23,12,False,True,False,False,1117.439,559.4432
True,24,12,True,False,False,False,2842.764,6167.681
True,20,11,True,False,False,True,1484.994,6943.342
True,26,10,True,False,False,True,6788.958,672.8773
True,25,14,True,False,True,False,11536.57,36646.95
True,26,10,True,False,True,True,0.0,0.0
True,20,9,True,False,False,True,0.0,8881.665
True,31,4,True,False,False,True,4023.211,7382.549
True,24,10,True,False,True,True,4078.152,0.0
True,33,11,True,False,True,True,25142.24,4181.942
True,33,12,True,False,True,False,10941.35,15952.6
False,23,10,True,False,False,True,0.0,0.0
False,26,12,False,False,False,False,0.0,12383.68
False,22,9,True,False,False,True,0.0,0.0
False,34,9,True,False,False,True,4368.413,14051.16
False,18,9,True,False,False,True,0.0,10740.08
False,45,11,True,False,False,True,0.0,11796.47
False,18,9,True,False,False,True,0.0,9227.052
False,27,12,True,False,False,False,2483.851,3552.268
False,24,8,False,False,False,True,0.0,10569.27
False,34,11,True,False,True,True,0.0,6040.335
False,20,13,True,False,False,False,8965.243,9199.563
False,24,4,False,True,False,True,0.0,3880.833
False,28,12,False,False,False,False,803.343,16477.02
False,21,10,True,False,False,True,922.5729,0.0
False,28,12,True,False,True,False,29009.11,10067.43
False,20,12,True,False,False,False,6004.728,4779.72
False,23,8,True,False,False,True,3403.056,0.0
False,21,11,True,False,True,True,7244.561,8976.826
False,36,10,True,False,False,True,0.0,0.0
False,18,12,False,False,False,False,735.2051,2502.526
False,21,14,True,False,False,False,0.0,5775.062
False,30,13,True,False,False,False,5569.761,0.0
False,26,11,False,True,False,True,1491.016,0.0
False,28,9,True,False,False,True,0.0,0.0
False,31,4,False,False,False,True,10711.08,0.0
False,18,12,True,False,False,False,642.6645,14444.71
False,27,7,True,False,True,True,0.0,0.0
False,19,11,False,False,False,True,0.0,0.0
False,20,8,True,False,False,True,0.0,0.0
False,28,8,True,False,False,True,10610.08,4623.188
False,34,12,True,False,False,False,0.0,2113.722
False,24,10,True,False,False,True,0.0,7618.639
False,24,9,True,False,False,True,0.0,16461.57
False,22,8,False,True,False,True,0.0,9920.945
False,25,11,True,False,False,True,0.0,4196.375
False,20,11,False,False,False,True,1177.118,8743.071
False,21,9,True,False,False,True,0.0,3343.224
False,19,12,True,False,False,False,2814.195,1720.907
False,39,9,True,False,False,True,0.0,0.0
False,19,9,True,False,True,True,0.0,16658.25
False,24,10,True,False,False,True,1307.908,0.0
False,44,9,True,False,False,True,0.0,9722.003
False,23,11,True,False,False,True,1896.023,5573.547
False,22,12,True,False,False,False,532.2536,1333.445
False,27,8,True,False,False,True,0.0,3783.66
False,27,11,True,False,True,True,1122.621,215.8348
False,18,9,True,False,False,True,1605.448,0.0
False,25,8,True,False,False,True,0.0,3515.929
False,31,10,True,False,False,True,0.0,17014.59
False,28,10,True,False,False,True,6567.329,5435.787
False,26,10,True,False,True,True,558.7734,0.0
False,30,8,True,False,False,True,1706.657,0.0
False,28,11,False,True,True,True,0.0,6771.622
False,34,10,True,False,True,True,0.0,0.0
False,21,7,False,True,False,True,0.0,0.0
False,33,12,True,False,False,False,0.0,5970.257
False,19,9,True,False,False,True,1778.089,7171.0
False,20,11,True,False,False,True,7967.209,0.0
False,18,10,False,True,False,True,0.0,1859.167
False,27,12,True,False,True,False,752.3901,0.0
False,26,12,True,False,True,False,0.0,6191.943
False,24,9,True,False,False,True,9662.67,0.0
False,31,12,True,False,False,False,0.0,7284.394
False,22,12,True,False,False,False,2158.05,0.0
False,28,14,True,False,False,False,6539.537,3123.116
False,35,10,True,False,False,True,0.0,445.8309
False,20,12,True,False,False,False,0.0,0.0
False,30,9,False,False,False,True,3141.917,1320.923
False,25,11,True,False,False,True,0.0,0.0
False,25,10,True,False,False,True,0.0,7367.04
False,35,11,True,False,False,True,0.0,0.0
False,22,8,True,False,False,True,6150.52,0.0
False,21,12,True,False,False,False,449.0479,0.0
False,20,10,True,False,False,True,0.0,2015.503
False,21,8,True,False,False,True,2237.208,1764.108
False,25,9,False,True,False,True,0.0,15791.13
False,24,10,False,True,False,True,3000.838,5350.038
False,33,11,True,False,False,True,2899.82,18859.89
False,21,9,True,False,False,True,12357.22,0.0
False,27,11,True,False,True,True,4491.884,0.0
False,27,10,True,False,False,True,0.0,1135.47
False,20,11,False,True,False,True,0.0,6378.72
False,25,13,True,False,False,False,10240.36,10020.72
False,18,11,True,False,False,True,645.2723,5497.591
False,26,11,True,False,False,True,0.0,7176.187
False,38,8,True,False,False,True,0.0,0.0
False,21,11,True,False,True,True,7652.12,8396.654
False,34,11,True,False,False,True,8912.484,5611.866
False,21,10,True,False,False,True,1162.362,39483.53
False,31,13,True,False,False,False,10393.61,7404.762
False,34,10,True,False,False,True,0.0,7952.54
False,25,11,True,False,False,True,3649.769,0.0
False,24,9,True,False,False,True,1275.356,8644.427
False,19,12,True,False,False,False,0.0,0.0
False,32,8,True,False,False,True,0.0,7152.132
False,20,9,False,True,False,True,0.0,8329.823
False,23,10,True,False,False,True,0.0,0.0
False,38,10,True,False,False,True,0.0,12429.91
False,24,11,True,False,False,True,0.0,0.0
False,19,10,False,True,False,True,1197.462,11223.72
False,23,11,True,False,False,True,0.0,5088.76
False,20,7,False,True,False,True,0.0,4374.04
False,25,10,True,False,True,True,9319.444,0.0
False,21,11,True,False,False,True,0.0,1553.291
False,25,10,True,False,False,True,0.0,0.0
False,22,11,True,False,True,True,0.0,1698.304
False,29,9,False,True,False,True,16341.16,16900.3
False,21,11,True,False,False,True,1862.889,11630.66
False,21,7,True,False,False,True,0.0,11011.57
False,23,11,True,False,False,True,0.0,0.0
False,20,12,True,False,False,False,1371.473,20893.11
False,21,11,False,True,False,True,8920.471,20857.84
False,26,12,True,False,False,False,7322.037,4677.049
False,24,12,False,False,False,False,0.0,11294.63
False,43,10,True,False,False,True,4128.443,7565.273
False,31,11,True,False,False,True,1726.445,0.0
False,22,11,True,False,False,True,2707.372,100.6998
False,29,11,True,False,False,True,0.0,0.0
False,24,11,True,False,False,True,0.0,14626.39
False,22,9,True,False,False,True,0.0,12898.38
False,19,11,True,False,False,True,8870.879,7396.292
False,28,11,True,False,False,True,0.0,5767.133
False,18,10,False,True,False,True,0.0,6527.919
False,18,9,True,False,False,True,2138.094,5767.704
False,26,10,True,False,False,True,0.0,3931.238
False,25,10,True,False,False,True,0.0,20942.24
False,26,12,True,False,False,False,8479.593,10820.55
False,23,11,True,False,False,True,29897.19,23483.45
False,20,8,False,True,False,True,1124.801,11731.2
False,24,10,True,False,False,True,0.0,0.0
False,27,13,True,False,False,False,8797.348,1653.481
False,26,5,True,False,False,True,0.0,0.0
False,37,10,True,False,False,True,8606.743,0.0
False,36,10,True,False,False,True,0.0,14690.35
False,22,11,True,False,False,True,0.0,0.0
False,22,9,True,False,False,True,506.4076,604.1987
False,25,12,True,False,False,False,0.0,3418.097
False,22,10,True,False,False,True,1765.676,0.0
False,27,11,True,False,False,True,0.0,11197.34
False,29,8,True,False,False,True,0.0,0.0
False,18,9,True,False,False,True,2006.629,6546.01
False,24,12,True,False,False,False,0.0,0.0
False,27,9,False,True,False,True,1596.762,6723.414
False,19,9,True,False,False,True,902.4565,1914.414
False,22,10,True,False,False,True,0.0,0.0
False,29,12,True,False,False,False,1359.347,132.76
False,30,11,True,False,True,True,9311.938,3982.801
False,22,7,True,False,False,True,13503.77,11607.09
False,24,7,True,False,False,True,0.0,1455.69
False,29,14,True,False,False,False,3357.185,7226.049
False,29,12,True,False,False,False,0.0,1890.937
False,22,11,True,False,False,True,1321.66,2639.29
False,25,11,False,True,True,True,0.0,4485.616
False,30,12,True,False,False,False,0.0,13613.35
False,22,8,True,False,False,True,0.0,1390.509
False,55,3,True,False,False,True,0.0,5843.796
False,35,10,True,False,False,True,9902.763,9453.827
False,20,10,True,False,False,True,0.0,8598.522
False,29,9,True,False,False,True,1203.824,9378.653
False,20,11,True,False,False,True,3470.389,7896.707
False,27,9,True,False,False,True,2129.016,0.0
False,28,10,True,False,True,True,6449.48,16988.18
False,20,11,True,False,False,True,2531.311,0.0
False,26,14,True,False,True,False,2025.566,0.0
False,19,8,False,True,False,True,1087.803,2987.101
False,34,11,True,False,False,True,0.0,2920.199
False,22,12,True,False,False,False,0.0,0.0
False,32,12,False,True,True,False,0.0,6735.32
False,19,11,True,False,False,True,1868.021,0.0
False,31,10,True,False,False,True,0.0,0.0
False,18,9,True,False,False,True,0.0,0.0
False,28,10,True,False,False,True,4479.587,128.672
False,32,12,True,False,False,False,12419.18,10673.7
False,50,10,False,True,False,True,0.0,0.0
False,20,12,True,False,False,False,591.8151,4159.919
False,25,11,True,False,True,True,0.0,44.75546
False,23,10,True,False,True,True,0.0,0.0
False,21,14,True,False,False,False,5926.795,29408.04
False,38,10,True,False,False,True,0.0,0.0
False,25,7,False,True,False,True,1177.118,9722.349
False,25,10,True,False,True,True,0.0,3701.812
False,29,12,True,False,False,False,2080.209,16969.95
False,42,10,True,False,False,True,0.0,6930.336
False,39,12,True,False,True,False,0.0,3795.799
False,27,11,True,False,True,True,20035.26,9074.764
False,34,13,True,False,True,False,0.0,5193.247
False,25,11,True,False,True,True,3266.406,479.2677
False,28,10,True,False,False,True,10068.4,0.0
False,24,7,True,False,False,True,0.0,2193.528
False,32,11,True,False,False,True,0.0,11120.53
False,27,13,True,False,False,False,0.0,7609.518
False,20,12,True,False,False,False,4932.215,6086.966
False,29,13,True,False,False,False,2265.579,2725.322
False,26,10,True,False,False,True,0.0,2169.027
False,44,11,True,False,False,True,0.0,0.0
False,24,9,True,False,False,True,4118.681,597.42
False,28,10,False,False,True,True,6346.193,6793.077
False,24,11,True,False,False,True,1327.993,9495.902
False,25,11,True,False,False,True,0.0,1264.232
False,25,8,True,False,True,True,515.8274,14281.31
False,23,11,True,False,False,True,5716.407,10274.84
False,20,11,True,False,False,True,1650.461,278.8751
False,24,12,True,False,False,False,8100.533,11235.11
False,20,11,False,False,True,True,8159.507,6336.783
False,25,12,True,False,False,False,0.0,0.0
False,28,11,True,False,False,True,863.4795,0.0
False,28,12,True,False,True,False,0.0,0.0
False,21,12,False,False,False,False,5440.815,11544.01
False,24,11,False,False,False,True,1468.383,10361.69
False,32,10,True,False,False,True,0.0,0.0
False,21,10,True,False,True,True,1785.18,6831.106
False,21,8,True,False,False,True,6608.304,3083.581
False,25,10,True,False,True,True,11696.37,11127.28
False,22,10,False,False,True,True,23031.98,5448.801
False,22,10,True,False,False,True,0.0,0.0
False,19,9,True,False,False,True,0.0,5712.643
False,31,10,True,False,True,True,0.0,0.0
False,23,11,True,False,False,True,0.0,0.0
False,22,11,True,False,False,True,875.2615,9139.652
False,33,11,True,False,False,True,0.0,0.0
False,27,10,True,False,False,True,0.0,1184.882
False,29,11,True,False,True,True,0.0,10225.88
False,38,10,True,False,True,True,14701.95,4393.523
False,20,6,True,False,False,True,2850.61,0.0
False,23,10,True,False,False,True,0.0,0.0
False,29,11,True,False,False,True,3256.165,3290.293
False,26,9,True,False,False,True,6955.054,11856.88
False,25,9,True,False,True,True,0.0,4715.371
False,24,11,True,False,False,True,13370.58,19533.88
False,25,10,True,False,False,True,0.0,289.7899
False,23,11,False,False,False,True,19995.64,12896.22
False,25,13,True,False,False,False,3751.048,1672.776
False,20,9,True,False,False,True,9164.449,8924.395
False,25,11,True,False,False,True,3072.726,284.6584
False,29,12,False,False,False,False,12205.14,16328.96
False,25,9,True,False,True,True,16946.63,7343.964
False,23,11,True,False,False,True,580.7901,0.0
False,44,9,True,False,True,True,10857.24,12359.31
False,22,12,True,False,True,False,9352.199,8072.181
False,20,11,False,False,False,True,1159.131,0.0
False,36,11,True,False,False,True,7311.561,0.0
False,24,10,True,False,False,True,0.0,0.0
False,28,8,False,False,False,True,0.0,8190.421
False,39,11,True,False,False,True,83.68964,0.0
False,27,12,False,True,False,False,24276.97,15762.88
False,31,10,True,False,False,True,520.4463,14527.88
False,26,6,True,False,False,True,0.0,4813.05
False,30,11,True,False,True,True,24105.39,7263.025
False,31,8,True,False,False,True,4577.68,6153.83
False,26,8,True,False,False,True,5562.598,3523.578
False,26,10,True,False,True,True,9107.431,12659.58
False,24,12,True,False,False,False,159.8847,0.0
False,25,11,True,False,False,True,2455.067,8764.148
False,29,9,True,False,False,True,9160.693,0.0
False,30,14,True,False,True,False,0.0,7344.678
False,25,10,True,False,True,True,0.0,0.0
False,41,12,True,False,False,False,9818.467,0.0
False,29,11,True,False,True,True,0.0,0.0
False,25,12,True,False,True,False,0.0,0.0
False,28,13,True,False,False,False,0.0,0.0
False,23,11,True,False,False,True,0.0,4350.907
False,54,11,True,False,False,True,0.0,7812.522
False,33,5,False,True,False,True,0.0,0.0
False,31,12,False,False,False,False,494.643,0.0
False,34,12,True,False,False,False,4087.214,5670.82
False,50,8,True,False,True,True,5630.05,8997.193
False,31,11,True,False,False,True,7505.213,308.3352
False,36,12,False,True,False,False,11491.95,4978.501
False,20,8,True,False,False,True,0.0,3644.655
False,24,12,False,False,True,False,24294.75,665.7374
False,23,12,False,True,False,False,8960.684,7078.178
False,26,13,False,False,False,False,5395.119,9766.2
False,28,11,False,False,False,True,3200.912,7645.055
False,45,9,True,False,False,True,0.0,4844.803
False,23,10,True,False,True,True,9854.153,0.0
False,28,11,True,False,False,True,13371.25,0.0
False,26,11,True,False,True,True,4184.732,0.0
False,22,10,True,False,False,True,2174.955,5344.021
False,27,13,False,False,False,False,474.5018,4812.576
False,27,12,False,True,False,False,2677.771,17395.17
False,39,6,True,False,False,True,0.0,0.0
False,25,11,True,False,False,True,0.0,0.0
False,31,11,True,False,False,True,18291.41,0.0
False,22,12,True,False,False,False,2003.68,439.6881
False,22,10,True,False,False,True,13732.98,10770.96
False,28,10,True,False,False,True,367.8234,4858.895
False,31,11,True,False,False,True,6382.587,0.0
False,27,10,True,False,True,True,11280.71,0.0
False,28,11,True,False,True,True,5393.895,4974.586
False,26,12,True,False,False,False,0.0,0.0
False,27,12,True,False,False,False,32984.25,10833.34
False,27,12,False,False,False,False,5035.444,0.0
False,36,12,True,False,False,False,142.3973,0.0
False,26,8,True,False,True,True,4084.258,0.0
False,23,9,True,False,True,True,19289.85,7600.104
False,23,10,True,False,False,True,0.0,0.0
False,31,12,True,False,False,False,5613.909,0.0
False,36,7,True,False,False,True,1606.662,20780.65
False,39,12,True,False,True,False,6608.137,499.2572
