treatment,age,education,black,hispanic,married,nodegree,RE75,RE78
True,23,8,False,True,False,True,0.0,3881284
True,26,11,True,False,False,True,0.0,17230.96
True,42,9,True,False,True,True,3058531,1294409
True,21,12,False,False,False,False,0.0,8048603
True,25,8,True,False,False,True,0.0,0.0
True,31,11,True,False,True,True,0.0,14509.93
True,17,10,True,False,False,True,0.0,0.0
True,19,8,True,False,False,True,2657057,9970681
True,29,14,True,False,False,False,679.6734,17814.98
True,25,11,True,False,False,True,0.0,0.0
True,21,12,True,False,False,False,0.0,9983784
True,44,11,True,False,False,True,0.0,0.0
True,19,10,True,False,False,True,385.2741,8124715
True,25,12,False,False,False,False,0.0,5587503
True,18,10,True,False,False,True,798.9079,9737154
True,18,9,True,False,False,True,0.0,4482845
True,19,9,True,False,False,True,798.9079,17685.18
True,18,9,True,False,False,True,3287375,5010342
True,26,11,True,False,True,True,1392853,1460.36
True,42,12,True,False,False,False,0.0,2456153
True,25,10,True,False,False,True,0.0,0.0
True,31,9,False,True,False,True,0.0,26817.6
True,24,10,True,False,False,True,0.0,0.0
True,26,10,True,False,False,True,0.0,9265788
True,20,12,True,False,False,False,377.5686,1652637
True,19,10,False,False,False,True,5324109,13829.62
True,25,11,True,False,False,True,0.0,485.2298
True,23,8,False,False,True,True,1713.15,4232309
True,31,12,False,False,False,False,2611218,2484549
True,18,11,True,False,False,True,0.0,4814627
True,19,11,True,False,False,True,0.0,7458105
True,43,9,True,False,False,True,0.0,0.0
True,27,13,True,False,False,False,0.0,34099.28
True,26,11,False,False,False,True,2226266,13385.86
True,29,10,False,True,False,True,8853674,5112014
True,17,9,True,False,False,True,0.0,1953268
True,30,11,True,False,False,True,0.0,0.0
True,17,10,True,False,False,True,156.9491,10641.24
True,20,12,False,False,True,False,8644156,11656.51
True,17,9,True,False,False,True,375.1047,3621707
True,18,12,True,False,False,False,562657,0.0
True,21,11,False,True,False,True,1395.39,0.0
True,30,11,True,False,False,True,1913034,0.0
True,18,11,False,True,False,True,5491535,2454.5
True,20,12,True,False,False,False,9227559,0.0
True,20,6,False,True,True,True,10802.98,4488495
True,20,10,True,False,False,True,11073.09,0.0
True,25,8,True,False,False,True,37431.66,2346828
True,17,9,False,False,False,True,1618.15,6011021
True,18,10,False,True,False,True,2589042,0.0
True,19,9,False,True,False,True,6511124,7913386
True,19,11,True,False,False,True,192.7995,661.1924
True,27,10,False,True,False,True,421.3024,3075862
True,18,12,False,True,False,False,535.5533,1115.86
True,22,11,True,False,False,True,606.9609,317.8952
True,20,9,True,False,False,True,660.5159,12229.63
True,20,11,True,False,False,True,696.2192,0.0
True,18,10,True,False,False,True,699.7896,480527
True,17,10,True,False,False,True,856.8864,3251.1
True,26,12,True,False,False,False,1088907,11460.56
True,22,10,True,False,False,True,1071108,7315452
True,20,12,True,False,False,False,1160366,702.1839
True,18,8,True,False,False,True,1199641,0.0
True,18,9,True,False,False,True,1285.33,15369.48
True,18,10,True,False,False,True,1371017,12064.41
True,19,10,True,False,False,True,1374587,13278.97
True,18,9,False,True,False,True,1713773,8836566
True,17,10,False,True,False,True,2202796,4387057
True,19,11,True,False,False,True,1927995,11965.81
True,27,11,True,False,True,True,2142217,2186189
True,19,10,True,False,False,True,3213113,2975031
True,19,9,False,True,False,True,3276.15,14271.23
True,27,10,True,False,False,True,3213322,2094119
True,21,11,True,False,True,True,4167998,11300.24
True,29,10,True,False,True,True,4923263,130.6791
True,34,11,False,True,False,True,4641467,2877682
True,25,10,False,False,False,True,4712874,6103746
True,31,13,False,False,False,False,5498.35,2329867
True,41,9,True,False,True,True,5783981,0.0
True,21,11,False,True,False,True,6658562,9381295
True,20,11,True,False,False,True,6426646,16451.46
True,24,12,False,True,True,False,7212.11,6485508
True,41,9,True,False,True,True,7212.12,3154.72
True,21,12,False,False,False,False,7390634,3557934
True,22,11,True,False,False,True,7497752,668.7466
True,20,9,False,True,False,True,8015442,5487.97
True,17,11,True,False,False,True,8497436,9017004
True,24,11,True,False,False,True,9180.92,0.0
True,23,12,True,False,True,False,15079.95,10283.49
True,23,10,True,False,False,True,15709.56,5665066
True,26,11,False,False,False,True,22959.76,2746614
True,21,13,True,False,False,False,24806.83,8803666
True,18,10,True,False,True,True,1958096,10989.93
True,22,10,True,False,False,True,653.9542,11134.98
True,17,10,True,False,False,True,1000.55,1433531
True,20,7,True,False,False,True,1569.49,5518083
True,17,9,True,False,False,True,1667583,5594729
True,23,11,True,False,False,True,1961864,3689126
True,32,10,True,False,False,True,2321537,179.0217
True,19,12,True,False,False,False,2534072,4551979
True,30,10,True,False,False,True,2615817,0.0
True,25,12,True,False,False,False,2746608,2090678
True,26,11,False,False,False,True,4676457,1973345
True,19,10,True,False,False,True,3473808,5861603
True,19,8,False,False,False,True,3416907,9251357
True,20,10,True,False,False,True,5100839,13626.04
True,21,11,True,False,False,True,5310107,7906341
True,23,12,True,False,False,False,7841972,7947257
True,19,11,True,False,False,True,6409027,11648.7
True,22,11,True,False,False,True,8774791,18295.82
True,23,12,True,False,False,False,7782042,14416.84
True,26,10,True,False,True,True,8141703,4635.66
True,24,12,True,False,False,False,12982.34,0.0
True,18,10,False,True,False,True,12625.51,0.0
True,27,11,True,False,False,True,14223.5,7661973
True,21,11,False,True,False,True,17983.71,15191.91
True,25,8,False,False,False,True,23096.65,6421.53
True,21,12,True,False,False,False,807.9511,4350907
True,19,11,True,False,False,True,532.2536,0.0
True,18,11,True,False,False,True,851.6061,0.0
True,34,7,True,False,False,True,857.5195,0.0
True,21,11,False,False,False,True,946.2279,11412.24
True,25,9,True,False,False,True,1536503,1709342
True,17,9,True,False,False,True,1341651,1374066
True,28,8,True,False,False,True,1182786,7779263
True,18,9,True,False,False,True,1182786,5100469
True,27,12,True,False,False,False,4310455,0.0
True,23,9,True,False,False,True,1774.18,11464.71
True,19,8,False,True,False,True,1862889,8774623
True,21,11,True,False,False,True,2158585,0.0
True,21,11,True,False,False,True,2217724,4082.37
True,23,10,True,False,False,True,2217724,0.0
True,27,9,True,False,False,True,2294605,2018556
True,27,11,True,False,False,True,2483852,0.0
True,23,12,False,False,False,False,3903195,796.5597
True,27,8,True,False,False,True,7218277,7976932
True,28,11,True,False,True,True,6952.58,7318186
True,25,12,True,False,False,False,5204259,0.0
True,20,12,True,False,False,False,6085421,9750.66
True,26,12,True,False,False,False,6608803,5811765
True,23,10,True,False,True,True,10495.08,3385811
True,49,8,False,False,True,True,7285948,16717.12
True,19,11,True,False,False,True,10224.37,11293.81
True,21,13,False,False,False,False,8616852,99.57002
True,27,12,True,False,True,False,7806387,2777585
True,23,11,True,False,False,True,8959589,1659.5
True,22,11,True,False,False,True,12170.94,8408393
True,24,15,True,False,False,False,13008.5,14683.63
True,24,12,True,False,False,False,18154.06,0.0
True,18,11,True,False,False,True,214.5636,929.8839
True,17,10,True,False,False,True,5793852,5522788
True,17,9,True,False,False,True,1253439,5445.2
True,28,11,True,False,False,True,6871856,0.0
True,27,11,True,False,False,True,2666274,0.0
True,19,11,True,False,False,True,2615276,4146603
True,18,11,False,False,False,True,919.5579,4321705
True,24,10,True,False,False,True,2421947,1660508
True,23,12,True,False,False,False,3039.96,8484239
True,21,9,True,False,False,True,5749331,743.6666
True,21,12,True,False,False,False,3332409,9371037
True,24,9,True,False,False,True,2288675,4849559
True,20,9,False,True,False,True,5875049,1358643
True,25,13,True,False,False,False,3090732,0.0
True,35,8,True,False,True,True,17976.15,3786628
True,17,9,False,True,False,True,74.34345,6210.67
True,24,11,True,False,True,True,1666113,4032708
True,20,12,True,False,False,False,165.2077,0.0
True,21,8,True,False,False,True,3695897,4279613
True,18,10,True,False,False,True,1784274,11141.39
True,27,12,True,False,False,False,357.9499,22163.25
True,22,9,True,False,False,True,3836986,3462564
True,46,8,True,False,False,True,2594723,0.0
True,19,10,True,False,False,True,6056754,0.0
True,19,11,False,True,True,True,5463803,6788463
True,22,12,True,False,False,False,936.1773,0.0
True,22,12,False,False,False,False,8455504,12590.71
True,26,12,True,False,True,False,5794831,1424944
True,29,12,True,False,False,False,4878937,10976.51
True,31,9,True,False,False,True,5517841,9558501
True,29,12,True,False,False,False,1817284,0.0
True,35,9,True,False,True,True,13830.64,12803.97
True,25,12,True,False,False,False,2409274,0.0
True,22,12,False,True,True,False,7055702,10092.83
True,27,10,True,False,False,True,3550075,0.0
True,22,10,True,False,True,True,5588664,13228.28
True,19,8,True,False,False,True,2937264,7535942
True,20,11,True,False,False,True,1220836,1085.44
True,21,12,False,False,False,False,334.0494,12558.02
True,27,12,True,False,True,False,334.0493,0.0
True,20,10,True,False,False,True,2777355,5615189
True,23,12,True,False,False,False,501.0741,671.3318
True,27,13,False,False,True,False,853.7225,0.0
True,23,12,False,True,False,False,1117439,559.4432
True,24,12,True,False,False,False,2842764,6167681
True,20,11,True,False,False,True,1484994,6943342
True,26,10,True,False,False,True,6788958,672.8773
True,25,14,True,False,True,False,11536.57,36646.95
True,26,10,True,False,True,True,0.0,0.0
True,20,9,True,False,False,True,0.0,8881665
True,31,4,True,False,False,True,4023211,7382549
True,24,10,True,False,True,True,4078152,0.0
True,33,11,True,False,True,True,25142.24,4181942
True,33,12,True,False,True,False,10941.35,15952.6
False,23,10,True,False,False,True,0.0,0.0
False,26,12,False,False,False,False,0.0,12383.68
False,22,9,True,False,False,True,0.0,0.0
False,34,9,True,False,False,True,4368413,14051.16
False,18,9,True,False,False,True,0.0,10740.08
False,45,11,True,False,False,True,0.0,11796.47
False,18,9,True,False,False,True,0.0,9227052
False,27,12,True,False,False,False,2483851,3552268
False,24,8,False,False,False,True,0.0,10569.27
False,34,11,True,False,True,True,0.0,6040335
False,20,13,True,False,False,False,8965243,9199563
False,24,4,False,True,False,True,0.0,3880833
False,28,12,False,False,False,False,803343,16477.02
False,21,10,True,False,False,True,922.5729,0.0
False,28,12,True,False,True,False,29009.11,10067.43
False,20,12,True,False,False,False,6004728,4779.72
False,23,8,True,False,False,True,3403056,0.0
False,21,11,True,False,True,True,7244561,8976826
False,36,10,True,False,False,True,0.0,0.0
False,18,12,False,False,False,False,735.2051,2502526
False,21,14,True,False,False,False,0.0,5775062
False,30,13,True,False,False,False,5569761,0.0
False,26,11,False,True,False,True,1491016,0.0
False,28,9,True,False,False,True,0.0,0.0
False,31,4,False,False,False,True,10711.08,0.0
False,18,12,True,False,False,False,642.6645,14444.71
False,27,7,True,False,True,True,0.0,0.0
False,19,11,False,False,False,True,0.0,0.0
False,20,8,True,False,False,True,0.0,0.0
False,28,8,True,False,False,True,10610.08,4623188
False,34,12,True,False,False,False,0.0,2113722
False,24,10,True,False,False,True,0.0,7618639
False,24,9,True,False,False,True,0.0,16461.57
False,22,8,False,True,False,True,0.0,9920945
False,25,11,True,False,False,True,0.0,4196375
False,20,11,False,False,False,True,1177118,8743071
False,21,9,True,False,False,True,0.0,3343224
False,19,12,True,False,False,False,2814195,1720907
False,39,9,True,False,False,True,0.0,0.0
False,19,9,True,False,True,True,0.0,16658.25
False,24,10,True,False,False,True,1307908,0.0
False,44,9,True,False,False,True,0.0,9722003
False,23,11,True,False,False,True,1896023,5573547
False,22,12,True,False,False,False,532.2536,1333445
False,27,8,True,False,False,True,0.0,3783.66
False,27,11,True,False,True,True,1122621,215.8348
False,18,9,True,False,False,True,1605448,0.0
False,25,8,True,False,False,True,0.0,3515929
False,31,10,True,False,False,True,0.0,17014.59
False,28,10,True,False,False,True,6567329,5435787
False,26,10,True,False,True,True,558.7734,0.0
False,30,8,True,False,False,True,1706657,0.0
False,28,11,False,True,True,True,0.0,6771622
False,34,10,True,False,True,True,0.0,0.0
False,21,7,False,True,False,True,0.0,0.0
False,33,12,True,False,False,False,0.0,5970257
False,19,9,True,False,False,True,1778089,7171.0
False,20,11,True,False,False,True,7967209,0.0
False,18,10,False,True,False,True,0.0,1859167
False,27,12,True,False,True,False,752.3901,0.0
False,26,12,True,False,True,False,0.0,6191943
False,24,9,True,False,False,True,9662.67,0.0
False,31,12,True,False,False,False,0.0,7284394
False,22,12,True,False,False,False,2158.05,0.0
False,28,14,True,False,False,False,6539537,3123116
False,35,10,True,False,False,True,0.0,445.8309
False,20,12,True,False,False,False,0.0,0.0
False,30,9,False,False,False,True,3141917,1320923
False,25,11,True,False,False,True,0.0,0.0
False,25,10,True,False,False,True,0.0,7367.04
False,35,11,True,False,False,True,0.0,0.0
False,22,8,True,False,False,True,6150.52,0.0
False,21,12,True,False,False,False,449.0479,0.0
False,20,10,True,False,False,True,0.0,2015503
False,21,8,True,False,False,True,2237208,1764108
False,25,9,False,True,False,True,0.0,15791.13
False,24,10,False,True,False,True,3000838,5350038
False,33,11,True,False,False,True,2899.82,18859.89
False,21,9,True,False,False,True,12357.22,0.0
False,27,11,True,False,True,True,4491884,0.0
False,27,10,True,False,False,True,0.0,1135.47
False,20,11,False,True,False,True,0.0,6378.72
False,25,13,True,False,False,False,10240.36,10020.72
False,18,11,True,False,False,True,645.2723,5497591
False,26,11,True,False,False,True,0.0,7176187
False,38,8,True,False,False,True,0.0,0.0
False,21,11,True,False,True,True,7652.12,8396654
False,34,11,True,False,False,True,8912484,5611866
False,21,10,True,False,False,True,1162362,39483.53
False,31,13,True,False,False,False,10393.61,7404762
False,34,10,True,False,False,True,0.0,7952.54
False,25,11,True,False,False,True,3649769,0.0
False,24,9,True,False,False,True,1275356,8644427
False,19,12,True,False,False,False,0.0,0.0
False,32,8,True,False,False,True,0.0,7152132
False,20,9,False,True,False,True,0.0,8329823
False,23,10,True,False,False,True,0.0,0.0
False,38,10,True,False,False,True,0.0,12429.91
False,24,11,True,False,False,True,0.0,0.0
False,19,10,False,True,False,True,1197462,11223.72
False,23,11,True,False,False,True,0.0,5088.76
False,20,7,False,True,False,True,0.0,4374.04
False,25,10,True,False,True,True,9319444,0.0
False,21,11,True,False,False,True,0.0,1553291
False,25,10,True,False,False,True,0.0,0.0
False,22,11,True,False,True,True,0.0,1698304
False,29,9,False,True,False,True,16341.16,16900.3
False,21,11,True,False,False,True,1862889,11630.66
False,21,7,True,False,False,True,0.0,11011.57
False,23,11,True,False,False,True,0.0,0.0
False,20,12,True,False,False,False,1371473,20893.11
False,21,11,False,True,False,True,8920471,20857.84
False,26,12,True,False,False,False,7322037,4677049
False,24,12,False,False,False,False,0.0,11294.63
False,43,10,True,False,False,True,4128443,7565273
False,31,11,True,False,False,True,1726445,0.0
False,22,11,True,False,False,True,2707372,100.6998
False,29,11,True,False,False,True,0.0,0.0
False,24,11,True,False,False,True,0.0,14626.39
False,22,9,True,False,False,True,0.0,12898.38
False,19,11,True,False,False,True,8870879,7396292
False,28,11,True,False,False,True,0.0,5767133
False,18,10,False,True,False,True,0.0,6527919
False,18,9,True,False,False,True,2138094,5767704
False,26,10,True,False,False,True,0.0,3931238
False,25,10,True,False,False,True,0.0,20942.24
False,26,12,True,False,False,False,8479593,10820.55
False,23,11,True,False,False,True,29897.19,23483.45
False,20,8,False,True,False,True,1124801,11731.2
False,24,10,True,False,False,True,0.0,0.0
False,27,13,True,False,False,False,8797348,1653481
False,26,5,True,False,False,True,0.0,0.0
False,37,10,True,False,False,True,8606743,0.0
False,36,10,True,False,False,True,0.0,14690.35
False,22,11,True,False,False,True,0.0,0.0
False,22,9,True,False,False,True,506.4076,604.1987
False,25,12,True,False,False,False,0.0,3418097
False,22,10,True,False,False,True,1765676,0.0
False,27,11,True,False,False,True,0.0,11197.34
False,29,8,True,False,False,True,0.0,0.0
False,18,9,True,False,False,True,2006629,6546.01
False,24,12,True,False,False,False,0.0,0.0
False,27,9,False,True,False,True,1596762,6723414
False,19,9,True,False,False,True,902.4565,1914414
False,22,10,True,False,False,True,0.0,0.0
False,29,12,True,False,False,False,1359347,132.76
False,30,11,True,False,True,True,9311938,3982801
False,22,7,True,False,False,True,13503.77,11607.09
False,24,7,True,False,False,True,0.0,1455.69
False,29,14,True,False,False,False,3357185,7226049
False,29,12,True,False,False,False,0.0,1890937
False,22,11,True,False,False,True,1321.66,2639.29
False,25,11,False,True,True,True,0.0,4485616
False,30,12,True,False,False,False,0.0,13613.35
False,22,8,True,False,False,True,0.0,1390509
False,55,3,True,False,False,True,0.0,5843796
False,35,10,True,False,False,True,9902763,9453827
False,20,10,True,False,False,True,0.0,8598522
False,29,9,True,False,False,True,1203824,9378653
False,20,11,True,False,False,True,3470389,7896707
False,27,9,True,False,False,True,2129016,0.0
False,28,10,True,False,True,True,6449.48,16988.18
False,20,11,True,False,False,True,2531311,0.0
False,26,14,True,False,True,False,2025566,0.0
False,19,8,False,True,False,True,1087803,2987101
False,34,11,True,False,False,True,0.0,2920199
False,22,12,True,False,False,False,0.0,0.0
False,32,12,False,True,True,False,0.0,6735.32
False,19,11,True,False,False,True,1868021,0.0
False,31,10,True,False,False,True,0.0,0.0
False,18,9,True,False,False,True,0.0,0.0
False,28,10,True,False,False,True,4479587,128672
False,32,12,True,False,False,False,12419.18,10673.7
False,50,10,False,True,False,True,0.0,0.0
False,20,12,True,False,False,False,591.8151,4159919
False,25,11,True,False,True,True,0.0,44.75546
False,23,10,True,False,True,True,0.0,0.0
False,21,14,True,False,False,False,5926795,29408.04
False,38,10,True,False,False,True,0.0,0.0
False,25,7,False,True,False,True,1177118,9722349
False,25,10,True,False,True,True,0.0,3701812
False,29,12,True,False,False,False,2080209,16969.95
False,42,10,True,False,False,True,0.0,6930336
False,39,12,True,False,True,False,0.0,3795799
False,27,11,True,False,True,True,20035.26,9074764
False,34,13,True,False,True,False,0.0,5193247
False,25,11,True,False,True,True,3266406,479.2677
False,28,10,True,False,False,True,10068.4,0.0
False,24,7,True,False,False,True,0.0,2193528
False,32,11,True,False,False,True,0.0,11120.53
False,27,13,True,False,False,False,0.0,7609518
False,20,12,True,False,False,False,4932215,6086966
False,29,13,True,False,False,False,2265579,2725322
False,26,10,True,False,False,True,0.0,2169027
False,44,11,True,False,False,True,0.0,0.0
False,24,9,True,False,False,True,4118681,597.42
False,28,10,False,False,True,True,6346193,6793077
False,24,11,True,False,False,True,1327993,9495902
False,25,11,True,False,False,True,0.0,1264232
False,25,8,True,False,True,True,515.8274,14281.31
False,23,11,True,False,False,True,5716407,10274.84
False,20,11,True,False,False,True,1650461,278.8751
False,24,12,True,False,False,False,8100533,11235.11
False,20,11,False,False,True,True,8159507,6336783
False,25,12,True,False,False,False,0.0,0.0
False,28,11,True,False,False,True,863.4795,0.0
False,28,12,True,False,True,False,0.0,0.0
False,21,12,False,False,False,False,5440815,11544.01
False,24,11,False,False,False,True,1468383,10361.69
False,32,10,True,False,False,True,0.0,0.0
False,21,10,True,False,True,True,1785.18,6831106
False,21,8,True,False,False,True,6608304,3083581
False,25,10,True,False,True,True,11696.37,11127.28
False,22,10,False,False,True,True,23031.98,5448801
False,22,10,True,False,False,True,0.0,0.0
False,19,9,True,False,False,True,0.0,5712643
False,31,10,True,False,True,True,0.0,0.0
False,23,11,True,False,False,True,0.0,0.0
False,22,11,True,False,False,True,875.2615,9139652
False,33,11,True,False,False,True,0.0,0.0
False,27,10,True,False,False,True,0.0,1184882
False,29,11,True,False,True,True,0.0,10225.88
False,38,10,True,False,True,True,14701.95,4393523
False,20,6,True,False,False,True,2850.61,0.0
False,23,10,True,False,False,True,0.0,0.0
False,29,11,True,False,False,True,3256165,3290293
False,26,9,True,False,False,True,6955054,11856.88
False,25,9,True,False,True,True,0.0,4715371
False,24,11,True,False,False,True,13370.58,19533.88
False,25,10,True,False,False,True,0.0,289.7899
False,23,11,False,False,False,True,19995.64,12896.22
False,25,13,True,False,False,False,3751048,1672776
False,20,9,True,False,False,True,9164449,8924395
False,25,11,True,False,False,True,3072726,284.6584
False,29,12,False,False,False,False,12205.14,16328.96
False,25,9,True,False,True,True,16946.63,7343964
False,23,11,True,False,False,True,580.7901,0.0
False,44,9,True,False,True,True,10857.24,12359.31
False,22,12,True,False,True,False,9352199,8072181
False,20,11,False,False,False,True,1159131,0.0
False,36,11,True,False,False,True,7311561,0.0
False,24,10,True,False,False,True,0.0,0.0
False,28,8,False,False,False,True,0.0,8190421
False,39,11,True,False,False,True,83.68964,0.0
False,27,12,False,True,False,False,24276.97,15762.88
False,31,10,True,False,False,True,520.4463,14527.88
False,26,6,True,False,False,True,0.0,4813.05
False,30,11,True,False,True,True,24105.39,7263025
False,31,8,True,False,False,True,4577.68,6153.83
False,26,8,True,False,False,True,5562598,3523578
False,26,10,True,False,True,True,9107431,12659.58
False,24,12,True,False,False,False,159.8847,0.0
False,25,11,True,False,False,True,2455067,8764148
False,29,9,True,False,False,True,9160693,0.0
False,30,14,True,False,True,False,0.0,7344678
False,25,10,True,False,True,True,0.0,0.0
False,41,12,True,False,False,False,9818467,0.0
False,29,11,True,False,True,True,0.0,0.0
False,25,12,True,False,True,False,0.0,0.0
False,28,13,True,False,False,False,0.0,0.0
False,23,11,True,False,False,True,0.0,4350907
False,54,11,True,False,False,True,0.0,7812522
False,33,5,False,True,False,True,0.0,0.0
False,31,12,False,False,False,False,494643,0.0
False,34,12,True,False,False,False,4087214,5670.82
False,50,8,True,False,True,True,5630.05,8997193
False,31,11,True,False,False,True,7505213,308.3352
False,36,12,False,True,False,False,11491.95,4978501
False,20,8,True,False,False,True,0.0,3644655
False,24,12,False,False,True,False,24294.75,665.7374
False,23,12,False,True,False,False,8960684,7078178
False,26,13,False,False,False,False,5395119,9766.2
False,28,11,False,False,False,True,3200912,7645055
False,45,9,True,False,False,True,0.0,4844803
False,23,10,True,False,True,True,9854153,0.0
False,28,11,True,False,False,True,13371.25,0.0
False,26,11,True,False,True,True,4184732,0.0
False,22,10,True,False,False,True,2174955,5344021
False,27,13,False,False,False,False,474.5018,4812576
False,27,12,False,True,False,False,2677771,17395.17
False,39,6,True,False,False,True,0.0,0.0
False,25,11,True,False,False,True,0.0,0.0
False,31,11,True,False,False,True,18291.41,0.0
False,22,12,True,False,False,False,2003.68,439.6881
False,22,10,True,False,False,True,13732.98,10770.96
False,28,10,True,False,False,True,367.8234,4858895
False,31,11,True,False,False,True,6382587,0.0
False,27,10,True,False,True,True,11280.71,0.0
False,28,11,True,False,True,True,5393895,4974586
False,26,12,True,False,False,False,0.0,0.0
False,27,12,True,False,False,False,32984.25,10833.34
False,27,12,False,False,False,False,5035444,0.0
False,36,12,True,False,False,False,142.3973,0.0
False,26,8,True,False,True,True,4084258,0.0
False,23,9,True,False,True,True,19289.85,7600104
False,23,10,True,False,False,True,0.0,0.0
False,31,12,True,False,False,False,5613909,0.0
False,36,7,True,False,False,True,1606662,20780.65
False,39,12,True,False,True,False,6608137,499.2572
False,35,11,True,False,True,True,8720905,0.0
False,21,9,False,False,False,True,1577167,1740199
False,36,11,False,True,False,True,3063878,1324542
False,27,12,False,False,False,False,0.0,14792.9
False,26,11,True,False,False,True,1174991,6672021
False,28,9,True,False,True,True,9210447,1239844
False,33,9,False,True,True,True,0.0,0.0
False,28,11,True,False,True,True,10033.91,0.0
False,22,11,True,False,False,True,6974484,3708719
False,25,11,True,False,False,True,4284429,4116702
False,25,10,True,False,True,True,0.0,0.0
False,27,11,True,False,False,True,766.2986,0.0
False,26,8,False,False,True,True,36941.27,30247.5
False,28,12,True,False,True,False,5551456,12780.02
False,25,10,False,False,False,True,8140402,3412955
False,22,10,False,False,False,True,10598.67,7094.92
False,23,8,True,False,False,True,0.0,3746701
False,20,12,False,False,False,False,3104815,12573.97
False,19,11,True,False,False,True,3285.68,11195.93
False,17,9,False,True,False,True,671.2271,4209579
False,19,11,True,False,False,True,5160259,0.0
False,18,11,True,False,False,True,4152609,4164767
